eggdrop AnnualProjectCompletedInPhysicsClasses 
physiology TheOnlyScienceClassAvailableWithoutAnAPVersion 
almamater MVHSAnthemBeginningWith“HailToThee‘OleMVHigh”
physicsc APExamThat’sSplitIntoTwoParts
linkleaders JuniorsAndSeniorsThatHelpFreshmenThroughOrientation
seniorsunrise AnnualTraditionWhereSeniorsWakeUpEarlyAndGatherOnTheUpperFieldBeforeSchool
helmetgame TheAnnualFootballGameAgainstCupertinoHighSchool
boardgames TheHomecoming2021Theme 
romeoandjuliet ShakespeareNovelThatIsPartOfTheFreshmenLiteratureCurriculum
elestoque MVHS’sJournalisticPublication 
mythology SeniorLitClassOption 
deanza NameOfTheNearbyCommunityCollege 
avid TheFourYearElectiveClassThatHelpsStudentsPrepareForCollege
elvaledor MVHS’sYearbook
powerpuff SpringEventWhereBoysTypicallyCheerleadAndTheGirlsPlayFootball
